Time,Name,Z0,Z1,Reference
0.02100000000000001,,-0.00028624289060344736,-0.0002629471991384341,0.0002866133882732226
0.02100000000000001,,-0.00028624289060344736,-0.0002629471991384341,0.0002866133882732226
0.022000000000000013,,-0.00031400947858758213,-0.00028676012816332495,0.00031445422600256674
0.022000000000000013,,-0.00031400947858758213,-0.00028676012816332495,0.00031445422600256674
0.022000000000000013,,-0.00031400947858758213,-0.00028676012816332495,0.00031445422600256674
0.022000000000000013,,-0.00031400947858758213,-0.00028676012816332495,0.00031445422600256674
0.022000000000000013,,-0.00031400947858758213,-0.00028676012816332495,0.00031445422600256674
0.022000000000000013,,-0.00031400947858758213,-0.00028676012816332495,0.00031445422600256674
0.022000000000000013,,-0.00031400947858758213,-0.00028676012816332495,0.00031445422600256674
0.022000000000000013,,-0.00031400947858758213,-0.00028676012816332495,0.00031445422600256674
0.022000000000000013,,-0.00031400947858758213,-0.00028676012816332495,0.00031445422600256674
0.022000000000000013,,-0.00031400947858758213,-0.00028676012816332495,0.00031445422600256674
0.022000000000000013,,-0.00031400947858758213,-0.00028676012816332495,0.00031445422600256674
0.023000000000000013,,-0.00034304538613138695,-0.00031155938020620787,0.00034357526273824863
0.023000000000000013,,-0.00034304538613138695,-0.00031155938020620787,0.00034357526273824863
0.023000000000000013,,-0.00034304538613138695,-0.00031155938020620787,0.00034357526273824863
0.023000000000000013,,-0.00034304538613138695,-0.00031155938020620787,0.00034357526273824863
0.023000000000000013,,-0.00034304538613138695,-0.00031155938020620787,0.00034357526273824863
0.023000000000000013,,-0.00034304538613138695,-0.00031155938020620787,0.00034357526273824863
0.023000000000000013,,-0.00034304538613138695,-0.00031155938020620787,0.00034357526273824863
0.023000000000000013,,-0.00034304538613138695,-0.00031155938020620787,0.00034357526273824863
0.023000000000000013,,-0.00034304538613138695,-0.00031155938020620787,0.00034357526273824863
0.023000000000000013,,-0.00034304538613138695,-0.00031155938020620787,0.00034357526273824863
0.024000000000000014,,-0.0003733482274233176,-0.00033733848171561403,0.00037397518948332944
0.024000000000000014,,-0.0003733482274233176,-0.00033733848171561403,0.00037397518948332944
0.024000000000000014,,-0.0003733482274233176,-0.00033733848171561403,0.00037397518948332944
0.024000000000000014,,-0.0003733482274233176,-0.00033733848171561403,0.00037397518948332944
0.025000000000000015,,-0.00040491555386216213,-0.0003640907792489792,0.0004056526972408701
0.025000000000000015,,-0.00040491555386216213,-0.0003640907792489792,0.0004056526972408701
0.025000000000000015,,-0.00040491555386216213,-0.0003640907792489792,0.0004056526972408701
0.025000000000000015,,-0.00040491555386216213,-0.0003640907792489792,0.0004056526972408701
0.025000000000000015,,-0.00040491555386216213,-0.0003640907792489792,0.0004056526972408701
0.025000000000000015,,-0.00040491555386216213,-0.0003640907792489792,0.0004056526972408701
0.025000000000000015,,-0.00040491555386216213,-0.0003640907792489792,0.0004056526972408701
0.025000000000000015,,-0.00040491555386216213,-0.0003640907792489792,0.0004056526972408701
0.025000000000000015,,-0.00040491555386216213,-0.0003640907792489792,0.0004056526972408701
0.026000000000000016,,-0.0004377448522665811,-0.0003918094343034251,0.0004386064770139315
0.026000000000000016,,-0.0004377448522665811,-0.0003918094343034251,0.0004386064770139315
0.026000000000000016,,-0.0004377448522665811,-0.0003918094343034251,0.0004386064770139315
0.026000000000000016,,-0.0004377448522665811,-0.0003918094343034251,0.0004386064770139315
0.026000000000000016,,-0.0004377448522665811,-0.0003918094343034251,0.0004386064770139315
0.026000000000000016,,-0.0004377448522665811,-0.0003918094343034251,0.0004386064770139315
0.026000000000000016,,-0.0004377448522665811,-0.0003918094343034251,0.0004386064770139315
0.026000000000000016,,-0.0004377448522665811,-0.0003918094343034251,0.0004386064770139315
0.026000000000000016,,-0.0004377448522665811,-0.0003918094343034251,0.0004386064770139315
0.026000000000000016,,-0.0004377448522665811,-0.0003918094343034251,0.0004386064770139315
0.027000000000000017,,-0.00047183354303354793,-0.000420487418042147,0.0004728352198055749
0.027000000000000017,,-0.00047183354303354793,-0.000420487418042147,0.0004728352198055749
0.027000000000000017,,-0.00047183354303354793,-0.000420487418042147,0.0004728352198055749
0.027000000000000017,,-0.00047183354303354793,-0.000420487418042147,0.0004728352198055749
0.028000000000000018,,-0.000507178978244258,-0.0004501175059047999,0.0005083376166188611
0.028000000000000018,,-0.000507178978244258,-0.0004501175059047999,0.0005083376166188611
0.028000000000000018,,-0.000507178978244258,-0.0004501175059047999,0.0005083376166188611
0.028000000000000018,,-0.000507178978244258,-0.0004501175059047999,0.0005083376166188611
0.028000000000000018,,-0.000507178978244258,-0.0004501175059047999,0.0005083376166188611
0.028000000000000018,,-0.000507178978244258,-0.0004501175059047999,0.0005083376166188611
0.028000000000000018,,-0.000507178978244258,-0.0004501175059047999,0.0005083376166188611
0.028000000000000018,,-0.000507178978244258,-0.0004501175059047999,0.0005083376166188611
0.028000000000000018,,-0.000507178978244258,-0.0004501175059047999,0.0005083376166188611
0.028000000000000018,,-0.000507178978244258,-0.0004501175059047999,0.0005083376166188611
0.028000000000000018,,-0.000507178978244258,-0.0004501175059047999,0.0005083376166188611
0.028000000000000018,,-0.000507178978244258,-0.0004501175059047999,0.0005083376166188611
0.028000000000000018,,-0.000507178978244258,-0.0004501175059047999,0.0005083376166188611
0.028000000000000018,,-0.000507178978244258,-0.0004501175059047999,0.0005083376166188611
0.028000000000000018,,-0.000507178978244258,-0.0004501175059047999,0.0005083376166188611
0.028000000000000018,,-0.000507178978244258,-0.0004501175059047999,0.0005083376166188611
0.028000000000000018,,-0.000507178978244258,-0.0004501175059047999,0.0005083376166188611
0.028000000000000018,,-0.000507178978244258,-0.0004501175059047999,0.0005083376166188611
0.028000000000000018,,-0.000507178978244258,-0.0004501175059047999,0.0005083376166188611
0.028000000000000018,,-0.000507178978244258,-0.0004501175059047999,0.0005083376166188611
0.028000000000000018,,-0.000507178978244258,-0.0004501175059047999,0.0005083376166188611
0.028000000000000018,,-0.000507178978244258,-0.0004501175059047999,0.0005083376166188611
0.028000000000000018,,-0.000507178978244258,-0.0004501175059047999,0.0005083376166188611
0.028000000000000018,,-0.000507178978244258,-0.0004501175059047999,0.0005083376166188611
0.028000000000000018,,-0.000507178978244258,-0.0004501175059047999,0.0005083376166188611
0.028000000000000018,,-0.000507178978244258,-0.0004501175059047999,0.0005083376166188611
0.02900000000000002,,-0.0005437784397160479,-0.00048069227209526105,0.0005451123584568512
0.02900000000000002,,-0.0005437784397160479,-0.00048069227209526105,0.0005451123584568512
0.02900000000000002,,-0.0005437784397160479,-0.00048069227209526105,0.0005451123584568512
0.02900000000000002,,-0.0005437784397160479,-0.00048069227209526105,0.0005451123584568512
0.02900000000000002,,-0.0005437784397160479,-0.00048069227209526105,0.0005451123584568512
0.03000000000000002,,-0.0005816291369988258,-0.0005122040839435388,0.0005831581363226062
0.03000000000000002,,-0.0005816291369988258,-0.0005122040839435388,0.0005831581363226062
